campaign_score,layers_involved,n_alerts,start_ts,end_ts
0.999,"application,iot,network",91,58.09,88.35
0.961,"application,iot,network",36,139.68,148.45
0.969,"application,iot,network",37,171.28,183.16
0.999,"application,iot,network",40,330.24,338.67
0.996,"application,iot,network",41,378.48,389.66
0.999,"application,iot,network",55,414.92,425.22
0.998,"application,iot,network",90,458.46,485.82
0.965,"application,iot,network",39,533.5,542.44
0.999,"application,iot,network",49,646.46,653.63
0.999,"application,iot,network",27,665.64,674.71
0.987,"application,iot,network",130,753.99,798.85
0.998,"application,iot,network",50,826.54,838.06
0.998,"application,iot,network",59,929.65,938.15
0.999,"application,iot,network",37,993.56,1003.22
0.999,"application,iot,network",38,1020.6,1028.84
0.975,"application,iot,network",31,1096.22,1110.14
0.973,"application,iot,network",52,1130.45,1150.81
0.999,"application,iot,network",44,1215.99,1228.01
0.981,"application,iot,network",28,1447.14,1458.95
0.999,"application,iot,network",35,1529.06,1536.97
0.999,"application,iot,network",33,1607.06,1619.18
0.999,"application,iot,network",57,1738.12,1752.95
0.999,"application,iot,network",71,1814.1,1829.52
0.984,"application,iot,network",210,2172.93,2225.01
0.988,"application,iot,network",115,2349.61,2376.57
0.999,"application,iot,network",44,2391.75,2404.88
0.999,"application,iot,network",37,2420.06,2430.34
0.999,"application,iot,network",46,2511.74,2522.45
0.999,"application,iot,network",82,2562.55,2595.66
0.968,"application,iot,network",36,2651.75,2660.61
0.997,"application,iot,network",40,2678.72,2704.52
0.999,"application,iot,network",56,2744.56,2758.67
0.968,"application,iot,network",35,2772.53,2780.9
0.998,"application,iot,network",45,2802.74,2814.2
0.999,"application,iot,network",41,2916.81,2931.82
0.999,"application,iot,network",39,3120.29,3131.64
0.956,"application,iot,network",41,3207.69,3218.64
0.999,"application,iot,network",40,3289.64,3300.7
0.999,"application,iot,network",54,3361.17,3372.5
0.968,"application,iot,network",36,3614.02,3630.73
0.999,"application,iot,network",43,3668.17,3677.89
0.996,"application,iot,network",47,3717.69,3730.91
0.992,"application,iot,network",244,3778.96,3845.82
0.958,"application,iot,network",49,3879.02,3891.87
